0,1,954,160,175,461,1,-1,-1,-1
0,2,422,1,74,169,1,-1,-1,-1
0,3,476,1,103,194,1,-1,-1,-1
1,1,951,158,178,463,1,-1,-1,-1
1,2,420,1,76,169,1,-1,-1,-1
1,3,476,1,101,194,1,-1,-1,-1
2,1,952,165,177,456,1,-1,-1,-1
2,2,420,1,76,169,1,-1,-1,-1
2,3,476,1,101,194,1,-1,-1,-1
3,1,954,160,175,461,1,-1,-1,-1
3,2,420,1,76,169,1,-1,-1,-1
3,3,476,1,101,194,1,-1,-1,-1
4,1,958,159,171,462,1,-1,-1,-1
4,2,420,1,76,169,1,-1,-1,-1
4,3,476,1,101,194,1,-1,-1,-1
5,1,954,160,175,461,1,-1,-1,-1
5,2,421,1,75,174,1,-1,-1,-1
5,3,476,1,101,194,1,-1,-1,-1
6,1,954,160,175,461,1,-1,-1,-1
6,2,421,1,75,174,1,-1,-1,-1
6,3,476,1,101,194,1,-1,-1,-1
7,1,954,160,175,461,1,-1,-1,-1
7,2,414,1,82,174,1,-1,-1,-1
7,3,476,1,101,194,1,-1,-1,-1
8,1,954,160,175,461,1,-1,-1,-1
8,2,414,1,82,174,1,-1,-1,-1
8,3,476,1,101,194,1,-1,-1,-1
9,1,954,158,174,463,1,-1,-1,-1
9,2,414,1,73,174,1,-1,-1,-1
9,3,476,1,101,194,1,-1,-1,-1
10,1,954,158,174,463,1,-1,-1,-1
10,2,414,1,73,174,1,-1,-1,-1
10,3,476,1,101,194,1,-1,-1,-1
11,1,954,160,176,461,1,-1,-1,-1
11,2,414,1,73,174,1,-1,-1,-1
11,3,476,1,101,194,1,-1,-1,-1
12,1,954,160,176,461,1,-1,-1,-1
12,2,414,1,73,174,1,-1,-1,-1
12,3,476,1,101,194,1,-1,-1,-1
13,1,953,165,177,456,1,-1,-1,-1
13,2,414,1,73,174,1,-1,-1,-1
13,3,476,1,101,194,1,-1,-1,-1
14,1,953,165,177,456,1,-1,-1,-1
14,2,414,1,73,174,1,-1,-1,-1
14,3,476,1,101,194,1,-1,-1,-1
15,1,953,165,177,456,1,-1,-1,-1
15,2,414,1,73,174,1,-1,-1,-1
15,3,476,1,101,194,1,-1,-1,-1
16,1,953,165,177,456,1,-1,-1,-1
16,2,408,1,73,174,1,-1,-1,-1
16,3,476,1,101,194,1,-1,-1,-1
17,1,953,165,177,456,1,-1,-1,-1
17,2,408,1,73,174,1,-1,-1,-1
17,3,476,1,101,194,1,-1,-1,-1
18,1,953,165,177,456,1,-1,-1,-1
18,2,408,1,73,174,1,-1,-1,-1
18,3,476,1,101,194,1,-1,-1,-1
19,1,953,165,177,456,1,-1,-1,-1
19,2,408,1,73,174,1,-1,-1,-1
19,3,476,1,101,194,1,-1,-1,-1
20,1,953,162,178,459,1,-1,-1,-1
20,2,406,1,75,177,1,-1,-1,-1
20,3,476,1,101,194,1,-1,-1,-1
21,1,953,162,178,459,1,-1,-1,-1
21,2,399,1,77,174,1,-1,-1,-1
